event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 17:10:29.559,1764447029,1,277.31,-250.00,-120.00,,,
GOAL,2025-11-29 17:10:31.104,1764447031,1,1,Blue,1,1.55,1.55,
SPEED,2025-11-29 17:10:31.566,1764447031,1,285.63,257.50,123.60,,,
GOAL,2025-11-29 17:10:32.668,1764447032,1,0,Red,1,1.56,3.11,
SPEED,2025-11-29 17:10:33.571,1764447033,1,294.20,-265.23,-127.31,,,
GOAL,2025-11-29 17:10:34.178,1764447034,1,1,Blue,2,1.51,4.62,
SPEED,2025-11-29 17:10:35.573,1764447035,1,303.02,273.18,131.13,,,
GOAL,2025-11-29 17:10:35.655,1764447035,1,0,Red,2,1.48,6.10,
