event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 17:04:12.311,1764446652,1,277.31,250.00,-120.00,,,
GOAL,2025-11-29 17:04:13.865,1764446653,1,0,Red,1,1.55,1.55,
SPEED,2025-11-29 17:04:14.322,1764446654,1,285.63,-257.50,-123.60,,,
GOAL,2025-11-29 17:04:15.421,1764446655,1,1,Blue,1,1.56,3.11,
SPEED,2025-11-29 17:04:16.337,1764446656,1,294.20,265.23,127.31,,,
GOAL,2025-11-29 17:04:16.941,1764446656,1,0,Red,2,1.52,4.63,
SPEED,2025-11-29 17:04:18.348,1764446658,1,303.02,-273.18,-131.13,,,
GOAL,2025-11-29 17:04:18.414,1764446658,1,1,Blue,2,1.47,6.10,
