thread=139918294496960; worker=1; libro=2; palabras=47314; inicio=2025-11-30 15:42:07.098; fin=2025-11-30 15:42:07.135
thread=139918302889664; worker=0; libro=1; palabras=71710; inicio=2025-11-30 15:42:07.097; fin=2025-11-30 15:42:07.152
thread=139918156232384; worker=2; libro=3; palabras=141645; inicio=2025-11-30 15:42:07.098; fin=2025-11-30 15:42:07.196
thread=139918156232384; worker=0; libro=4; palabras=71581; inicio=2025-11-30 15:42:07.197; fin=2025-11-30 15:42:07.254
thread=139918302889664; worker=2; libro=5; palabras=81316; inicio=2025-11-30 15:42:07.197; fin=2025-11-30 15:42:07.264
thread=139918294496960; worker=1; libro=6; palabras=115042; inicio=2025-11-30 15:42:07.197; fin=2025-11-30 15:42:07.278
thread=139918294496960; worker=1; libro=7; palabras=31487; inicio=2025-11-30 15:42:07.279; fin=2025-11-30 15:42:07.309
thread=139918156232384; worker=2; libro=9; palabras=33889; inicio=2025-11-30 15:42:07.280; fin=2025-11-30 15:42:07.314
thread=139918302889664; worker=0; libro=8; palabras=212180; inicio=2025-11-30 15:42:07.279; fin=2025-11-30 15:42:07.426
thread=139918294496960; worker=1; libro=12; palabras=80943; inicio=2025-11-30 15:42:07.428; fin=2025-11-30 15:42:07.495
thread=139918302889664; worker=2; libro=11; palabras=166806; inicio=2025-11-30 15:42:07.428; fin=2025-11-30 15:42:07.541
thread=139918156232384; worker=0; libro=10; palabras=413440; inicio=2025-11-30 15:42:07.428; fin=2025-11-30 15:42:07.729
thread=139918302889664; worker=0; libro=13; palabras=37765; inicio=2025-11-30 15:42:07.731; fin=2025-11-30 15:42:07.763
thread=139918294496960; worker=1; libro=14; palabras=78560; inicio=2025-11-30 15:42:07.731; fin=2025-11-30 15:42:07.794
thread=139918156232384; worker=2; libro=15; palabras=99958; inicio=2025-11-30 15:42:07.731; fin=2025-11-30 15:42:07.811
thread=139918294496960; worker=1; libro=16; palabras=49690; inicio=2025-11-30 15:42:07.813; fin=2025-11-30 15:42:07.853
thread=139918302889664; worker=2; libro=17; palabras=126207; inicio=2025-11-30 15:42:07.813; fin=2025-11-30 15:42:07.931
thread=139918156232384; worker=0; libro=18; palabras=144239; inicio=2025-11-30 15:42:07.813; fin=2025-11-30 15:42:07.941
thread=139918156232384; worker=2; libro=20; palabras=185498; inicio=2025-11-30 15:42:07.943; fin=2025-11-30 15:42:08.082
thread=139918294496960; worker=1; libro=21; palabras=194382; inicio=2025-11-30 15:42:07.943; fin=2025-11-30 15:42:08.093
thread=139918302889664; worker=0; libro=19; palabras=211713; inicio=2025-11-30 15:42:07.943; fin=2025-11-30 15:42:08.106
thread=139918294496960; worker=1; libro=23; palabras=25603; inicio=2025-11-30 15:42:08.108; fin=2025-11-30 15:42:08.129
thread=139918156232384; worker=0; libro=22; palabras=201999; inicio=2025-11-30 15:42:08.108; fin=2025-11-30 15:42:08.240
thread=139918302889664; worker=2; libro=24; palabras=327002; inicio=2025-11-30 15:42:08.108; fin=2025-11-30 15:42:08.324
