thread=139935213303488; worker=6; libro=7; palabras=31487; inicio=2025-11-30 16:06:31.769; fin=2025-11-30 16:06:31.833
thread=139934849554112; worker=9; libro=9; palabras=33889; inicio=2025-11-30 16:06:31.770; fin=2025-11-30 16:06:31.844
thread=139935255267008; worker=1; libro=2; palabras=47314; inicio=2025-11-30 16:06:31.768; fin=2025-11-30 16:06:31.851
thread=139935263659712; worker=0; libro=1; palabras=71710; inicio=2025-11-30 16:06:31.768; fin=2025-11-30 16:06:31.881
thread=139935246874304; worker=2; libro=4; palabras=71581; inicio=2025-11-30 16:06:31.768; fin=2025-11-30 16:06:31.891
thread=139935230088896; worker=4; libro=5; palabras=81316; inicio=2025-11-30 16:06:31.768; fin=2025-11-30 16:06:31.905
thread=139934832768704; worker=11; libro=12; palabras=80943; inicio=2025-11-30 16:06:31.770; fin=2025-11-30 16:06:31.915
thread=139935221696192; worker=5; libro=6; palabras=115042; inicio=2025-11-30 16:06:31.768; fin=2025-11-30 16:06:31.922
thread=139935238481600; worker=3; libro=3; palabras=141645; inicio=2025-11-30 16:06:31.768; fin=2025-11-30 16:06:31.941
thread=139934841161408; worker=10; libro=11; palabras=166806; inicio=2025-11-30 16:06:31.770; fin=2025-11-30 16:06:31.958
thread=139934866339520; worker=7; libro=8; palabras=212180; inicio=2025-11-30 16:06:31.770; fin=2025-11-30 16:06:31.985
thread=139934857946816; worker=8; libro=10; palabras=413440; inicio=2025-11-30 16:06:31.770; fin=2025-11-30 16:06:32.128
thread=139935213303488; worker=10; libro=23; palabras=25603; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.182
thread=139934832768704; worker=0; libro=13; palabras=37765; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.203
thread=139934857946816; worker=3; libro=16; palabras=49690; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.214
thread=139934841161408; worker=1; libro=14; palabras=78560; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.237
thread=139934849554112; worker=2; libro=15; palabras=99958; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.277
thread=139935263659712; worker=4; libro=17; palabras=126207; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.323
thread=139935255267008; worker=5; libro=18; palabras=144239; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.336
thread=139935238481600; worker=7; libro=20; palabras=185498; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.347
thread=139935230088896; worker=8; libro=21; palabras=194382; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.359
thread=139935221696192; worker=9; libro=22; palabras=201999; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.370
thread=139935246874304; worker=6; libro=19; palabras=211713; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.383
thread=139934866339520; worker=11; libro=24; palabras=327002; inicio=2025-11-30 16:06:32.131; fin=2025-11-30 16:06:32.460
thread=139934849554112; worker=9; libro=34; palabras=25776; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.512
thread=139935255267008; worker=5; libro=30; palabras=30011; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.519
thread=139935230088896; worker=3; libro=28; palabras=92854; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.590
thread=139935238481600; worker=7; libro=32; palabras=86640; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.601
thread=139934857946816; worker=8; libro=33; palabras=109138; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.613
thread=139934832768704; worker=11; libro=36; palabras=117350; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.627
thread=139935221696192; worker=2; libro=27; palabras=131867; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.636
thread=139935246874304; worker=6; libro=31; palabras=134493; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.648
thread=139935213303488; worker=1; libro=26; palabras=185839; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.676
thread=139934866339520; worker=0; libro=25; palabras=222581; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.701
thread=139935263659712; worker=4; libro=29; palabras=304376; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:32.747
thread=139934841161408; worker=10; libro=35; palabras=992331; inicio=2025-11-30 16:06:32.463; fin=2025-11-30 16:06:33.285
thread=139934857946816; worker=3; libro=42; palabras=80980; inicio=2025-11-30 16:06:33.289; fin=2025-11-30 16:06:30.965
thread=139934832768704; worker=0; libro=37; palabras=70204; inicio=2025-11-30 16:06:33.289; fin=2025-11-30 16:06:30.981
thread=139935213303488; worker=10; libro=47; palabras=92187; inicio=2025-11-30 16:06:33.290; fin=2025-11-30 16:06:30.999
thread=139934841161408; worker=1; libro=38; palabras=103490; inicio=2025-11-30 16:06:33.289; fin=2025-11-30 16:06:31.014
thread=139934849554112; worker=2; libro=39; palabras=111843; inicio=2025-11-30 16:06:33.289; fin=2025-11-30 16:06:31.028
thread=139935238481600; worker=7; libro=44; palabras=117284; inicio=2025-11-30 16:06:33.290; fin=2025-11-30 16:06:31.040
thread=139935230088896; worker=8; libro=45; palabras=141049; inicio=2025-11-30 16:06:33.290; fin=2025-11-30 16:06:31.053
thread=139934866339520; worker=11; libro=48; palabras=145111; inicio=2025-11-30 16:06:33.290; fin=2025-11-30 16:06:31.065
thread=139935255267008; worker=5; libro=41; palabras=173576; inicio=2025-11-30 16:06:33.289; fin=2025-11-30 16:06:31.075
thread=139935246874304; worker=6; libro=43; palabras=203029; inicio=2025-11-30 16:06:33.290; fin=2025-11-30 16:06:31.087
thread=139935221696192; worker=9; libro=46; palabras=286240; inicio=2025-11-30 16:06:33.290; fin=2025-11-30 16:06:31.172
