thread=128094746699456; worker=1; libro=2; palabras=47314; inicio=2025-11-30 12:34:17.970; fin=2025-11-30 12:34:18.113
thread=128094755092160; worker=0; libro=1; palabras=71710; inicio=2025-11-30 12:34:17.970; fin=2025-11-30 12:34:18.168
thread=128094729914048; worker=3; libro=4; palabras=71581; inicio=2025-11-30 12:34:17.970; fin=2025-11-30 12:34:18.197
thread=128094513919680; worker=4; libro=5; palabras=81316; inicio=2025-11-30 12:34:17.970; fin=2025-11-30 12:34:18.224
thread=128094746699456; worker=1; libro=7; palabras=31487; inicio=2025-11-30 12:34:18.115; fin=2025-11-30 12:34:18.233
thread=128094505526976; worker=5; libro=6; palabras=115042; inicio=2025-11-30 12:34:17.970; fin=2025-11-30 12:34:18.263
thread=128094729914048; worker=3; libro=9; palabras=33889; inicio=2025-11-30 12:34:18.202; fin=2025-11-30 12:34:18.289
thread=128094738306752; worker=2; libro=3; palabras=141645; inicio=2025-11-30 12:34:17.970; fin=2025-11-30 12:34:18.337
thread=128094755092160; worker=0; libro=8; palabras=212180; inicio=2025-11-30 12:34:18.172; fin=2025-11-30 12:34:18.573
thread=128094738306752; worker=3; libro=13; palabras=37765; inicio=2025-11-30 12:34:18.577; fin=2025-11-30 12:34:18.688
thread=128094755092160; worker=4; libro=14; palabras=78560; inicio=2025-11-30 12:34:18.577; fin=2025-11-30 12:34:18.825
thread=128094729914048; worker=2; libro=12; palabras=80943; inicio=2025-11-30 12:34:18.577; fin=2025-11-30 12:34:18.870
thread=128094738306752; worker=3; libro=16; palabras=49690; inicio=2025-11-30 12:34:18.690; fin=2025-11-30 12:34:18.890
thread=128094746699456; worker=5; libro=15; palabras=99958; inicio=2025-11-30 12:34:18.577; fin=2025-11-30 12:34:18.924
thread=128094513919680; worker=1; libro=11; palabras=166806; inicio=2025-11-30 12:34:18.577; fin=2025-11-30 12:34:19.042
thread=128094755092160; worker=4; libro=17; palabras=126207; inicio=2025-11-30 12:34:18.834; fin=2025-11-30 12:34:19.243
thread=128094729914048; worker=2; libro=18; palabras=144239; inicio=2025-11-30 12:34:18.876; fin=2025-11-30 12:34:19.274
thread=128094505526976; worker=0; libro=10; palabras=413440; inicio=2025-11-30 12:34:18.577; fin=2025-11-30 12:34:19.555
thread=128094513919680; worker=4; libro=23; palabras=25603; inicio=2025-11-30 12:34:19.563; fin=2025-11-30 12:34:19.631
thread=128094755092160; worker=1; libro=20; palabras=185498; inicio=2025-11-30 12:34:19.563; fin=2025-11-30 12:34:20.045
thread=128094738306752; worker=2; libro=21; palabras=194382; inicio=2025-11-30 12:34:19.563; fin=2025-11-30 12:34:20.076
thread=128094729914048; worker=3; libro=22; palabras=201999; inicio=2025-11-30 12:34:19.563; fin=2025-11-30 12:34:20.113
thread=128094746699456; worker=0; libro=19; palabras=211713; inicio=2025-11-30 12:34:19.563; fin=2025-11-30 12:34:20.151
thread=128094513919680; worker=4; libro=25; palabras=222581; inicio=2025-11-30 12:34:19.632; fin=2025-11-30 12:34:20.261
thread=128094505526976; worker=5; libro=24; palabras=327002; inicio=2025-11-30 12:34:19.563; fin=2025-11-30 12:34:20.400
thread=128094738306752; worker=2; libro=27; palabras=131867; inicio=2025-11-30 12:34:20.081; fin=2025-11-30 12:34:20.419
thread=128094755092160; worker=1; libro=26; palabras=185839; inicio=2025-11-30 12:34:20.049; fin=2025-11-30 12:34:20.491
thread=128094729914048; worker=2; libro=30; palabras=30011; inicio=2025-11-30 12:34:20.497; fin=2025-11-30 12:34:20.615
thread=128094729914048; worker=2; libro=34; palabras=25776; inicio=2025-11-30 12:34:20.617; fin=2025-11-30 12:34:20.698
thread=128094755092160; worker=4; libro=32; palabras=86640; inicio=2025-11-30 12:34:20.497; fin=2025-11-30 12:34:20.788
