thread=140080916178624; worker=6; libro=7; palabras=31487; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.193
thread=140080811333312; worker=9; libro=9; palabras=33889; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.202
thread=140080949749440; worker=1; libro=2; palabras=47314; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.209
thread=140080958142144; worker=0; libro=1; palabras=71710; inicio=2025-11-30 16:10:37.119; fin=2025-11-30 16:10:37.240
thread=140080941356736; worker=3; libro=4; palabras=71581; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.249
thread=140080794547904; worker=11; libro=12; palabras=80943; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.263
thread=140080932964032; worker=4; libro=5; palabras=81316; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.275
thread=140080924571328; worker=5; libro=6; palabras=115042; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.282
thread=140080828118720; worker=2; libro=3; palabras=141645; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.305
thread=140080802940608; worker=10; libro=11; palabras=166806; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.315
thread=140080907785920; worker=7; libro=8; palabras=212180; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.345
thread=140080819726016; worker=8; libro=10; palabras=413440; inicio=2025-11-30 16:10:37.120; fin=2025-11-30 16:10:37.527
thread=140080907785920; worker=10; libro=23; palabras=25603; inicio=2025-11-30 16:10:37.531; fin=2025-11-30 16:10:37.574
thread=140080794547904; worker=0; libro=13; palabras=37765; inicio=2025-11-30 16:10:37.530; fin=2025-11-30 16:10:37.589
thread=140080819726016; worker=3; libro=16; palabras=49690; inicio=2025-11-30 16:10:37.530; fin=2025-11-30 16:10:37.603
thread=140080802940608; worker=1; libro=14; palabras=78560; inicio=2025-11-30 16:10:37.530; fin=2025-11-30 16:10:37.639
thread=140080811333312; worker=2; libro=15; palabras=99958; inicio=2025-11-30 16:10:37.530; fin=2025-11-30 16:10:37.668
thread=140080958142144; worker=4; libro=17; palabras=126207; inicio=2025-11-30 16:10:37.530; fin=2025-11-30 16:10:37.723
thread=140080949749440; worker=5; libro=18; palabras=144239; inicio=2025-11-30 16:10:37.531; fin=2025-11-30 16:10:37.740
thread=140080932964032; worker=7; libro=20; palabras=185498; inicio=2025-11-30 16:10:37.531; fin=2025-11-30 16:10:37.751
thread=140080924571328; worker=8; libro=21; palabras=194382; inicio=2025-11-30 16:10:37.531; fin=2025-11-30 16:10:37.763
thread=140080916178624; worker=9; libro=22; palabras=201999; inicio=2025-11-30 16:10:37.531; fin=2025-11-30 16:10:37.776
thread=140080941356736; worker=6; libro=19; palabras=211713; inicio=2025-11-30 16:10:37.531; fin=2025-11-30 16:10:37.790
