thread=140506384275136; worker=6; libro=7; palabras=31487; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:24.787
thread=140506426238656; worker=1; libro=2; palabras=47314; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:24.830
thread=140506409453248; worker=3; libro=4; palabras=71581; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:24.885
thread=140506434631360; worker=0; libro=1; palabras=71710; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:24.901
thread=140506401060544; worker=4; libro=5; palabras=81316; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:24.933
thread=140506392667840; worker=5; libro=6; palabras=115042; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:24.972
thread=140506417845952; worker=2; libro=3; palabras=141645; inicio=2025-11-30 12:34:24.682; fin=2025-11-30 12:34:25.032
thread=140506392667840; worker=1; libro=9; palabras=33889; inicio=2025-11-30 12:34:25.036; fin=2025-11-30 12:34:25.165
thread=140506426238656; worker=5; libro=13; palabras=37765; inicio=2025-11-30 12:34:25.037; fin=2025-11-30 12:34:25.184
thread=140506417845952; worker=6; libro=14; palabras=78560; inicio=2025-11-30 12:34:25.037; fin=2025-11-30 12:34:25.316
thread=140506434631360; worker=4; libro=12; palabras=80943; inicio=2025-11-30 12:34:25.037; fin=2025-11-30 12:34:25.350
thread=140506409453248; worker=3; libro=11; palabras=166806; inicio=2025-11-30 12:34:25.036; fin=2025-11-30 12:34:25.500
thread=140506384275136; worker=0; libro=8; palabras=212180; inicio=2025-11-30 12:34:25.036; fin=2025-11-30 12:34:25.569
thread=140506401060544; worker=2; libro=10; palabras=413440; inicio=2025-11-30 12:34:25.036; fin=2025-11-30 12:34:26.027
thread=140506426238656; worker=1; libro=16; palabras=49690; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.192
thread=140506417845952; worker=0; libro=15; palabras=99958; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.342
thread=140506434631360; worker=2; libro=17; palabras=126207; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.474
thread=140506409453248; worker=3; libro=18; palabras=144239; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.509
thread=140506392667840; worker=5; libro=20; palabras=185498; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.533
thread=140506384275136; worker=6; libro=21; palabras=194382; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.564
thread=140506401060544; worker=4; libro=19; palabras=211713; inicio=2025-11-30 12:34:26.035; fin=2025-11-30 12:34:26.609
thread=140506392667840; worker=1; libro=23; palabras=25603; inicio=2025-11-30 12:34:26.614; fin=2025-11-30 12:34:26.713
thread=140506417845952; worker=6; libro=28; palabras=92854; inicio=2025-11-30 12:34:26.614; fin=2025-11-30 12:34:26.931
thread=140506426238656; worker=5; libro=27; palabras=131867; inicio=2025-11-30 12:34:26.614; fin=2025-11-30 12:34:26.993
thread=140506434631360; worker=4; libro=26; palabras=185839; inicio=2025-11-30 12:34:26.614; fin=2025-11-30 12:34:27.169
thread=140506384275136; worker=0; libro=22; palabras=201999; inicio=2025-11-30 12:34:26.614; fin=2025-11-30 12:34:27.202
thread=140506409453248; worker=3; libro=25; palabras=222581; inicio=2025-11-30 12:34:26.614; fin=2025-11-30 12:34:27.262
