thread=125793250293440; worker=4; libro=5; palabras=25603; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.262
thread=125793233508032; worker=6; libro=7; palabras=47314; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.277
thread=125793283864256; worker=0; libro=1; palabras=99958; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.300
thread=125793241900736; worker=5; libro=6; palabras=92187; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.307
thread=125793275471552; worker=1; libro=2; palabras=103490; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.314
thread=125793267078848; worker=2; libro=3; palabras=203029; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.337
thread=125793258686144; worker=3; libro=4; palabras=992331; inicio=2025-11-29 16:24:38.248; fin=2025-11-29 16:24:38.668
thread=125793250293440; worker=2; libro=9; palabras=70204; inicio=2025-11-29 16:24:38.670; fin=2025-11-29 16:24:38.708
thread=125793258686144; worker=3; libro=12; palabras=117350; inicio=2025-11-29 16:24:38.672; fin=2025-11-29 16:24:38.731
thread=125793241900736; worker=1; libro=11; palabras=134493; inicio=2025-11-29 16:24:38.670; fin=2025-11-29 16:24:38.739
thread=125793275471552; worker=5; libro=14; palabras=166806; inicio=2025-11-29 16:24:38.673; fin=2025-11-29 16:24:38.750
thread=125793283864256; worker=4; libro=13; palabras=194382; inicio=2025-11-29 16:24:38.673; fin=2025-11-29 16:24:38.763
thread=125793233508032; worker=0; libro=8; palabras=211713; inicio=2025-11-29 16:24:38.670; fin=2025-11-29 16:24:38.770
thread=125793267078848; worker=6; libro=10; palabras=286240; inicio=2025-11-29 16:24:38.670; fin=2025-11-29 16:24:38.813
thread=125793267078848; worker=0; libro=15; palabras=31487; inicio=2025-11-29 16:24:38.815; fin=2025-11-29 16:24:38.833
thread=125793250293440; worker=4; libro=19; palabras=30011; inicio=2025-11-29 16:24:38.816; fin=2025-11-29 16:24:38.837
thread=125793233508032; worker=6; libro=21; palabras=60293; inicio=2025-11-29 16:24:38.818; fin=2025-11-29 16:24:38.851
thread=125793283864256; worker=2; libro=17; palabras=141645; inicio=2025-11-29 16:24:38.815; fin=2025-11-29 16:24:38.882
thread=125793275471552; worker=1; libro=16; palabras=141049; inicio=2025-11-29 16:24:38.815; fin=2025-11-29 16:24:38.888
thread=125793258686144; worker=3; libro=18; palabras=145111; inicio=2025-11-29 16:24:38.815; fin=2025-11-29 16:24:38.895
thread=125793241900736; worker=5; libro=20; palabras=185839; inicio=2025-11-29 16:24:38.817; fin=2025-11-29 16:24:38.904
thread=125793233508032; worker=0; libro=22; palabras=33889; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:38.926
thread=125793275471552; worker=5; libro=25; palabras=71581; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:38.947
thread=125793250293440; worker=2; libro=23; palabras=71710; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:38.954
thread=125793258686144; worker=3; libro=27; palabras=117284; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:38.967
thread=125793283864256; worker=4; libro=28; palabras=131867; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:38.974
thread=125793267078848; worker=6; libro=26; palabras=185498; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:38.996
thread=125793241900736; worker=1; libro=24; palabras=327002; inicio=2025-11-29 16:24:38.905; fin=2025-11-29 16:24:39.057
thread=125793233508032; worker=6; libro=32; palabras=80980; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.100
thread=125793283864256; worker=2; libro=29; palabras=81316; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.108
thread=125793258686144; worker=3; libro=34; palabras=80943; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.117
thread=125793250293440; worker=4; libro=35; palabras=86640; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.124
thread=125793275471552; worker=1; libro=33; palabras=115042; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.130
thread=125793241900736; worker=5; libro=31; palabras=304376; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.191
thread=125793267078848; worker=0; libro=30; palabras=395203; inicio=2025-11-29 16:24:39.058; fin=2025-11-29 16:24:39.249
thread=125793250293440; worker=2; libro=37; palabras=25776; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.267
thread=125793275471552; worker=5; libro=41; palabras=37765; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.273
thread=125793258686144; worker=3; libro=39; palabras=49690; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.279
thread=125793283864256; worker=4; libro=40; palabras=92854; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.301
thread=125793233508032; worker=0; libro=36; palabras=111843; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.309
thread=125793267078848; worker=6; libro=42; palabras=212180; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.346
thread=125793241900736; worker=1; libro=38; palabras=413440; inicio=2025-11-29 16:24:39.251; fin=2025-11-29 16:24:39.437
thread=125793241900736; worker=5; libro=48; palabras=78560; inicio=2025-11-29 16:24:39.440; fin=2025-11-29 16:24:39.494
thread=125793275471552; worker=1; libro=44; palabras=109138; inicio=2025-11-29 16:24:39.439; fin=2025-11-29 16:24:39.502
thread=125793267078848; worker=0; libro=43; palabras=144239; inicio=2025-11-29 16:24:39.439; fin=2025-11-29 16:24:39.515
thread=125793233508032; worker=6; libro=49; palabras=126207; inicio=2025-11-29 16:24:39.448; fin=2025-11-29 16:24:39.532
thread=125793283864256; worker=2; libro=45; palabras=173576; inicio=2025-11-29 16:24:39.439; fin=2025-11-29 16:24:39.539
thread=125793250293440; worker=4; libro=47; palabras=201999; inicio=2025-11-29 16:24:39.440; fin=2025-11-29 16:24:39.550
