thread=131008728921792; worker=0; libro=5; palabras=25603; inicio=2025-11-29 16:24:39.640; fin=2025-11-29 16:24:39.655
thread=131008686958272; worker=5; libro=6; palabras=92187; inicio=2025-11-29 16:24:39.641; fin=2025-11-29 16:24:39.690
thread=131008712136384; worker=2; libro=1; palabras=99958; inicio=2025-11-29 16:24:39.640; fin=2025-11-29 16:24:39.697
thread=131008703743680; worker=3; libro=2; palabras=103490; inicio=2025-11-29 16:24:39.640; fin=2025-11-29 16:24:39.704
thread=131008695350976; worker=4; libro=3; palabras=203029; inicio=2025-11-29 16:24:39.640; fin=2025-11-29 16:24:39.729
thread=131008720529088; worker=1; libro=4; palabras=992331; inicio=2025-11-29 16:24:39.640; fin=2025-11-29 16:24:40.066
thread=131008695350976; worker=1; libro=7; palabras=47314; inicio=2025-11-29 16:24:40.068; fin=2025-11-29 16:24:40.093
thread=131008703743680; worker=2; libro=9; palabras=70204; inicio=2025-11-29 16:24:40.068; fin=2025-11-29 16:24:40.105
thread=131008728921792; worker=4; libro=11; palabras=134493; inicio=2025-11-29 16:24:40.072; fin=2025-11-29 16:24:40.133
thread=131008720529088; worker=5; libro=12; palabras=117350; inicio=2025-11-29 16:24:40.077; fin=2025-11-29 16:24:40.140
thread=131008686958272; worker=0; libro=8; palabras=211713; inicio=2025-11-29 16:24:40.068; fin=2025-11-29 16:24:40.162
thread=131008712136384; worker=3; libro=10; palabras=286240; inicio=2025-11-29 16:24:40.068; fin=2025-11-29 16:24:40.207
thread=131008703743680; worker=3; libro=15; palabras=31487; inicio=2025-11-29 16:24:40.210; fin=2025-11-29 16:24:40.227
thread=131008686958272; worker=5; libro=17; palabras=141645; inicio=2025-11-29 16:24:40.210; fin=2025-11-29 16:24:40.277
thread=131008712136384; worker=2; libro=16; palabras=141049; inicio=2025-11-29 16:24:40.210; fin=2025-11-29 16:24:40.284
thread=131008695350976; worker=4; libro=18; palabras=145111; inicio=2025-11-29 16:24:40.210; fin=2025-11-29 16:24:40.290
thread=131008728921792; worker=1; libro=14; palabras=166806; inicio=2025-11-29 16:24:40.210; fin=2025-11-29 16:24:40.297
thread=131008720529088; worker=0; libro=13; palabras=194382; inicio=2025-11-29 16:24:40.210; fin=2025-11-29 16:24:40.304
thread=131008703743680; worker=2; libro=19; palabras=30011; inicio=2025-11-29 16:24:40.305; fin=2025-11-29 16:24:40.322
thread=131008686958272; worker=0; libro=22; palabras=33889; inicio=2025-11-29 16:24:40.305; fin=2025-11-29 16:24:40.326
