thread=136264816785088; worker=3; libro=5; palabras=25603; inicio=2025-11-29 16:38:36.868; fin=2025-11-29 16:38:36.881
thread=136264816785088; worker=3; libro=7; palabras=47314; inicio=2025-11-29 16:38:36.881; fin=2025-11-29 16:38:36.906
thread=136264971974336; worker=0; libro=1; palabras=99958; inicio=2025-11-29 16:38:36.868; fin=2025-11-29 16:38:36.919
thread=136264963581632; worker=1; libro=6; palabras=92187; inicio=2025-11-29 16:38:36.868; fin=2025-11-29 16:38:36.927
thread=136264955188928; worker=2; libro=2; palabras=103490; inicio=2025-11-29 16:38:36.868; fin=2025-11-29 16:38:36.933
thread=136264971974336; worker=0; libro=9; palabras=70204; inicio=2025-11-29 16:38:36.920; fin=2025-11-29 16:38:36.955
thread=136264946796224; worker=4; libro=3; palabras=203029; inicio=2025-11-29 16:38:36.868; fin=2025-11-29 16:38:36.960
thread=136264816785088; worker=3; libro=8; palabras=211713; inicio=2025-11-29 16:38:36.907; fin=2025-11-29 16:38:37.002
thread=136264938403520; worker=5; libro=4; palabras=992331; inicio=2025-11-29 16:38:36.868; fin=2025-11-29 16:38:37.298
thread=136264963581632; worker=5; libro=15; palabras=31487; inicio=2025-11-29 16:38:37.306; fin=2025-11-29 16:38:37.323
thread=136264816785088; worker=2; libro=12; palabras=117350; inicio=2025-11-29 16:38:37.301; fin=2025-11-29 16:38:37.355
thread=136264938403520; worker=0; libro=11; palabras=134493; inicio=2025-11-29 16:38:37.301; fin=2025-11-29 16:38:37.368
thread=136264971974336; worker=4; libro=14; palabras=166806; inicio=2025-11-29 16:38:37.301; fin=2025-11-29 16:38:37.374
thread=136264963581632; worker=5; libro=16; palabras=141049; inicio=2025-11-29 16:38:37.323; fin=2025-11-29 16:38:37.388
thread=136264955188928; worker=3; libro=13; palabras=194382; inicio=2025-11-29 16:38:37.301; fin=2025-11-29 16:38:37.395
thread=136264816785088; worker=2; libro=17; palabras=141645; inicio=2025-11-29 16:38:37.356; fin=2025-11-29 16:38:37.419
thread=136264938403520; worker=0; libro=18; palabras=145111; inicio=2025-11-29 16:38:37.368; fin=2025-11-29 16:38:37.434
thread=136264946796224; worker=1; libro=10; palabras=286240; inicio=2025-11-29 16:38:37.301; fin=2025-11-29 16:38:37.450
thread=136264963581632; worker=0; libro=19; palabras=30011; inicio=2025-11-29 16:38:37.453; fin=2025-11-29 16:38:37.471
thread=136264971974336; worker=1; libro=22; palabras=33889; inicio=2025-11-29 16:38:37.453; fin=2025-11-29 16:38:37.475
thread=136264938403520; worker=5; libro=21; palabras=60293; inicio=2025-11-29 16:38:37.453; fin=2025-11-29 16:38:37.484
thread=136264955188928; worker=2; libro=23; palabras=71710; inicio=2025-11-29 16:38:37.453; fin=2025-11-29 16:38:37.491
thread=136264963581632; worker=0; libro=25; palabras=71581; inicio=2025-11-29 16:38:37.471; fin=2025-11-29 16:38:37.510
thread=136264938403520; worker=5; libro=27; palabras=117284; inicio=2025-11-29 16:38:37.484; fin=2025-11-29 16:38:37.539
