thread=139927631386304; worker=6; libro=7; palabras=31487; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.358
thread=139927673349824; worker=1; libro=2; palabras=47314; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.370
thread=139927681742528; worker=0; libro=1; palabras=71710; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.391
thread=139927664957120; worker=2; libro=4; palabras=71581; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.398
thread=139927639779008; worker=5; libro=5; palabras=81316; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.406
thread=139927648171712; worker=4; libro=6; palabras=115042; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.419
thread=139927656564416; worker=3; libro=3; palabras=141645; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.446
thread=139927648171712; worker=2; libro=9; palabras=33889; inicio=2025-11-30 16:02:52.448; fin=2025-11-30 16:02:52.492
thread=139927664957120; worker=6; libro=13; palabras=37765; inicio=2025-11-30 16:02:52.448; fin=2025-11-30 16:02:52.497
thread=139927639779008; worker=1; libro=14; palabras=78560; inicio=2025-11-30 16:02:52.448; fin=2025-11-30 16:02:52.525
thread=139927673349824; worker=5; libro=12; palabras=80943; inicio=2025-11-30 16:02:52.448; fin=2025-11-30 16:02:52.537
thread=139927681742528; worker=4; libro=11; palabras=166806; inicio=2025-11-30 16:02:52.448; fin=2025-11-30 16:02:52.577
thread=139927631386304; worker=0; libro=8; palabras=212180; inicio=2025-11-30 16:02:52.447; fin=2025-11-30 16:02:52.610
thread=139927656564416; worker=3; libro=10; palabras=413440; inicio=2025-11-30 16:02:52.448; fin=2025-11-30 16:02:52.744
thread=139927673349824; worker=1; libro=16; palabras=49690; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.803
thread=139927664957120; worker=0; libro=15; palabras=99958; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.853
thread=139927648171712; worker=4; libro=17; palabras=126207; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.898
thread=139927639779008; worker=5; libro=18; palabras=144239; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.912
thread=139927681742528; worker=2; libro=20; palabras=185498; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.923
thread=139927656564416; worker=3; libro=21; palabras=194382; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.935
thread=139927631386304; worker=6; libro=19; palabras=211713; inicio=2025-11-30 16:02:52.747; fin=2025-11-30 16:02:52.949
thread=139927631386304; worker=0; libro=23; palabras=25603; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:52.991
thread=139927664957120; worker=6; libro=28; palabras=92854; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:53.075
thread=139927673349824; worker=5; libro=27; palabras=131867; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:53.096
thread=139927681742528; worker=4; libro=26; palabras=185839; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:53.147
thread=139927639779008; worker=1; libro=22; palabras=201999; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:53.159
thread=139927656564416; worker=3; libro=25; palabras=222581; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:53.176
thread=139927648171712; worker=2; libro=24; palabras=327002; inicio=2025-11-30 16:02:52.952; fin=2025-11-30 16:02:53.239
thread=139927648171712; worker=4; libro=34; palabras=25776; inicio=2025-11-30 16:02:53.242; fin=2025-11-30 16:02:53.285
thread=139927681742528; worker=2; libro=30; palabras=30011; inicio=2025-11-30 16:02:53.241; fin=2025-11-30 16:02:53.293
thread=139927664957120; worker=0; libro=32; palabras=86640; inicio=2025-11-30 16:02:53.241; fin=2025-11-30 16:02:53.353
thread=139927639779008; worker=5; libro=33; palabras=109138; inicio=2025-11-30 16:02:53.242; fin=2025-11-30 16:02:53.372
thread=139927656564416; worker=3; libro=31; palabras=134493; inicio=2025-11-30 16:02:53.241; fin=2025-11-30 16:02:53.405
thread=139927673349824; worker=1; libro=29; palabras=304376; inicio=2025-11-30 16:02:53.241; fin=2025-11-30 16:02:53.567
thread=139927631386304; worker=6; libro=35; palabras=992331; inicio=2025-11-30 16:02:53.242; fin=2025-11-30 16:02:54.337
