thread=136990821439168; worker=2; libro=5; palabras=25603; inicio=2025-11-29 16:34:37.188; fin=2025-11-29 16:34:37.201
thread=136990813046464; worker=3; libro=2; palabras=103490; inicio=2025-11-29 16:34:37.188; fin=2025-11-29 16:34:37.236
thread=136990838224576; worker=0; libro=1; palabras=99958; inicio=2025-11-29 16:34:37.188; fin=2025-11-29 16:34:37.243
thread=136990733366976; worker=4; libro=3; palabras=203029; inicio=2025-11-29 16:34:37.188; fin=2025-11-29 16:34:37.273
thread=136990829831872; worker=1; libro=4; palabras=992331; inicio=2025-11-29 16:34:37.188; fin=2025-11-29 16:34:37.614
thread=136990733366976; worker=0; libro=7; palabras=47314; inicio=2025-11-29 16:34:37.616; fin=2025-11-29 16:34:37.638
thread=136990838224576; worker=4; libro=9; palabras=70204; inicio=2025-11-29 16:34:37.616; fin=2025-11-29 16:34:37.652
thread=136990829831872; worker=3; libro=6; palabras=92187; inicio=2025-11-29 16:34:37.616; fin=2025-11-29 16:34:37.662
thread=136990813046464; worker=1; libro=8; palabras=211713; inicio=2025-11-29 16:34:37.616; fin=2025-11-29 16:34:37.707
thread=136990821439168; worker=2; libro=10; palabras=286240; inicio=2025-11-29 16:34:37.616; fin=2025-11-29 16:34:37.760
thread=136990733366976; worker=4; libro=15; palabras=31487; inicio=2025-11-29 16:34:37.762; fin=2025-11-29 16:34:37.776
thread=136990821439168; worker=2; libro=12; palabras=117350; inicio=2025-11-29 16:34:37.762; fin=2025-11-29 16:34:37.819
thread=136990838224576; worker=0; libro=11; palabras=134493; inicio=2025-11-29 16:34:37.762; fin=2025-11-29 16:34:37.825
thread=136990813046464; worker=3; libro=14; palabras=166806; inicio=2025-11-29 16:34:37.762; fin=2025-11-29 16:34:37.832
thread=136990829831872; worker=1; libro=13; palabras=194382; inicio=2025-11-29 16:34:37.762; fin=2025-11-29 16:34:37.844
thread=136990829831872; worker=3; libro=19; palabras=30011; inicio=2025-11-29 16:34:37.846; fin=2025-11-29 16:34:37.861
thread=136990733366976; worker=0; libro=16; palabras=141049; inicio=2025-11-29 16:34:37.845; fin=2025-11-29 16:34:37.906
thread=136990821439168; worker=2; libro=17; palabras=141645; inicio=2025-11-29 16:34:37.845; fin=2025-11-29 16:34:37.913
thread=136990813046464; worker=1; libro=18; palabras=145111; inicio=2025-11-29 16:34:37.845; fin=2025-11-29 16:34:37.919
thread=136990838224576; worker=4; libro=20; palabras=185839; inicio=2025-11-29 16:34:37.846; fin=2025-11-29 16:34:37.930
thread=136990838224576; worker=0; libro=22; palabras=33889; inicio=2025-11-29 16:34:37.931; fin=2025-11-29 16:34:37.951
thread=136990829831872; worker=1; libro=21; palabras=60293; inicio=2025-11-29 16:34:37.931; fin=2025-11-29 16:34:37.961
thread=136990821439168; worker=2; libro=23; palabras=71710; inicio=2025-11-29 16:34:37.931; fin=2025-11-29 16:34:37.967
thread=136990733366976; worker=4; libro=25; palabras=71581; inicio=2025-11-29 16:34:37.931; fin=2025-11-29 16:34:37.973
thread=136990813046464; worker=3; libro=24; palabras=327002; inicio=2025-11-29 16:34:37.931; fin=2025-11-29 16:34:38.071
thread=136990829831872; worker=3; libro=29; palabras=81316; inicio=2025-11-29 16:34:38.072; fin=2025-11-29 16:34:38.118
thread=136990813046464; worker=1; libro=27; palabras=117284; inicio=2025-11-29 16:34:38.072; fin=2025-11-29 16:34:38.125
thread=136990821439168; worker=2; libro=28; palabras=131867; inicio=2025-11-29 16:34:38.072; fin=2025-11-29 16:34:38.132
thread=136990733366976; worker=0; libro=26; palabras=185498; inicio=2025-11-29 16:34:38.072; fin=2025-11-29 16:34:38.155
thread=136990838224576; worker=4; libro=30; palabras=395203; inicio=2025-11-29 16:34:38.073; fin=2025-11-29 16:34:38.259
thread=136990821439168; worker=2; libro=32; palabras=80980; inicio=2025-11-29 16:34:38.261; fin=2025-11-29 16:34:38.302
thread=136990813046464; worker=3; libro=34; palabras=80943; inicio=2025-11-29 16:34:38.261; fin=2025-11-29 16:34:38.311
thread=136990733366976; worker=4; libro=35; palabras=86640; inicio=2025-11-29 16:34:38.265; fin=2025-11-29 16:34:38.317
thread=136990829831872; worker=1; libro=33; palabras=115042; inicio=2025-11-29 16:34:38.261; fin=2025-11-29 16:34:38.323
thread=136990838224576; worker=0; libro=31; palabras=304376; inicio=2025-11-29 16:34:38.261; fin=2025-11-29 16:34:38.397
thread=136990813046464; worker=1; libro=37; palabras=25776; inicio=2025-11-29 16:34:38.399; fin=2025-11-29 16:34:38.414
thread=136990821439168; worker=2; libro=39; palabras=49690; inicio=2025-11-29 16:34:38.399; fin=2025-11-29 16:34:38.423
