thread=139897787152064; worker=5; libro=7; palabras=31487; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:57.976
thread=139897820722880; worker=1; libro=2; palabras=47314; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:57.991
thread=139897829115584; worker=0; libro=1; palabras=71710; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:58.008
thread=139897812330176; worker=2; libro=4; palabras=71581; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:58.016
thread=139897795544768; worker=4; libro=5; palabras=81316; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:58.024
thread=139897778759360; worker=6; libro=6; palabras=115042; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:58.035
thread=139897803937472; worker=3; libro=3; palabras=141645; inicio=2025-11-30 15:41:57.932; fin=2025-11-30 15:41:58.060
thread=139897778759360; worker=0; libro=9; palabras=33889; inicio=2025-11-30 15:41:58.061; fin=2025-11-30 15:41:58.106
thread=139897820722880; worker=5; libro=13; palabras=37765; inicio=2025-11-30 15:41:58.062; fin=2025-11-30 15:41:58.111
thread=139897812330176; worker=6; libro=14; palabras=78560; inicio=2025-11-30 15:41:58.062; fin=2025-11-30 15:41:58.138
thread=139897829115584; worker=4; libro=12; palabras=80943; inicio=2025-11-30 15:41:58.062; fin=2025-11-30 15:41:58.147
thread=139897803937472; worker=3; libro=11; palabras=166806; inicio=2025-11-30 15:41:58.062; fin=2025-11-30 15:41:58.189
thread=139897787152064; worker=1; libro=8; palabras=212180; inicio=2025-11-30 15:41:58.061; fin=2025-11-30 15:41:58.221
thread=139897795544768; worker=2; libro=10; palabras=413440; inicio=2025-11-30 15:41:58.061; fin=2025-11-30 15:41:58.372
thread=139897812330176; worker=0; libro=16; palabras=49690; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.438
thread=139897803937472; worker=3; libro=15; palabras=99958; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.483
thread=139897829115584; worker=2; libro=17; palabras=126207; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.529
thread=139897795544768; worker=4; libro=18; palabras=144239; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.542
thread=139897778759360; worker=6; libro=21; palabras=194382; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.552
thread=139897787152064; worker=5; libro=20; palabras=185498; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.562
thread=139897820722880; worker=1; libro=19; palabras=211713; inicio=2025-11-30 15:41:58.375; fin=2025-11-30 15:41:58.574
thread=139897795544768; worker=2; libro=23; palabras=25603; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.608
thread=139897812330176; worker=6; libro=28; palabras=92854; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.672
thread=139897787152064; worker=1; libro=27; palabras=131867; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.700
thread=139897820722880; worker=5; libro=26; palabras=185839; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.744
thread=139897778759360; worker=0; libro=22; palabras=201999; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.755
thread=139897829115584; worker=4; libro=25; palabras=222581; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.776
thread=139897803937472; worker=3; libro=24; palabras=327002; inicio=2025-11-30 15:41:58.576; fin=2025-11-30 15:41:58.837
thread=139897787152064; worker=5; libro=34; palabras=25776; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:58.876
thread=139897820722880; worker=1; libro=30; palabras=30011; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:58.882
thread=139897803937472; worker=3; libro=32; palabras=86640; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:58.926
thread=139897795544768; worker=4; libro=33; palabras=109138; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:58.944
thread=139897829115584; worker=2; libro=31; palabras=134493; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:58.970
thread=139897812330176; worker=0; libro=29; palabras=304376; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:59.081
thread=139897778759360; worker=6; libro=35; palabras=992331; inicio=2025-11-30 15:41:58.839; fin=2025-11-30 15:41:59.570
thread=139897795544768; worker=2; libro=37; palabras=70204; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.670
thread=139897812330176; worker=6; libro=42; palabras=80980; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.679
thread=139897803937472; worker=3; libro=38; palabras=103490; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.698
thread=139897829115584; worker=4; libro=39; palabras=111843; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.709
thread=139897787152064; worker=1; libro=36; palabras=117350; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.722
thread=139897820722880; worker=5; libro=41; palabras=173576; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.733
thread=139897778759360; worker=0; libro=40; palabras=395203; inicio=2025-11-30 15:41:59.574; fin=2025-11-30 15:41:59.940
thread=139897778759360; worker=6; libro=49; palabras=60293; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.010
thread=139897795544768; worker=4; libro=47; palabras=92187; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.049
thread=139897820722880; worker=1; libro=44; palabras=117284; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.060
thread=139897829115584; worker=2; libro=45; palabras=141049; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.078
thread=139897787152064; worker=5; libro=48; palabras=145111; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.090
thread=139897812330176; worker=0; libro=43; palabras=203029; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.113
thread=139897803937472; worker=3; libro=46; palabras=286240; inicio=2025-11-30 15:41:59.943; fin=2025-11-30 15:42:00.209
