thread=127402269202112; worker=4; libro=5; palabras=25603; inicio=2025-11-29 16:38:38.155; fin=2025-11-29 16:38:38.169
thread=127402403419840; worker=5; libro=6; palabras=92187; inicio=2025-11-29 16:38:38.155; fin=2025-11-29 16:38:38.205
thread=127402512479936; worker=0; libro=1; palabras=99958; inicio=2025-11-29 16:38:38.155; fin=2025-11-29 16:38:38.211
thread=127402504087232; worker=1; libro=2; palabras=103490; inicio=2025-11-29 16:38:38.155; fin=2025-11-29 16:38:38.218
thread=127402420205248; worker=2; libro=3; palabras=203029; inicio=2025-11-29 16:38:38.155; fin=2025-11-29 16:38:38.244
thread=127402411812544; worker=3; libro=4; palabras=992331; inicio=2025-11-29 16:38:38.155; fin=2025-11-29 16:38:38.569
thread=127402269202112; worker=1; libro=7; palabras=47314; inicio=2025-11-29 16:38:38.572; fin=2025-11-29 16:38:38.595
thread=127402411812544; worker=2; libro=9; palabras=70204; inicio=2025-11-29 16:38:38.572; fin=2025-11-29 16:38:38.609
thread=127402504087232; worker=5; libro=12; palabras=117350; inicio=2025-11-29 16:38:38.575; fin=2025-11-29 16:38:38.634
thread=127402512479936; worker=4; libro=11; palabras=134493; inicio=2025-11-29 16:38:38.575; fin=2025-11-29 16:38:38.642
thread=127402403419840; worker=0; libro=8; palabras=211713; inicio=2025-11-29 16:38:38.572; fin=2025-11-29 16:38:38.667
thread=127402420205248; worker=3; libro=10; palabras=286240; inicio=2025-11-29 16:38:38.573; fin=2025-11-29 16:38:38.715
thread=127402411812544; worker=3; libro=15; palabras=31487; inicio=2025-11-29 16:38:38.717; fin=2025-11-29 16:38:38.734
thread=127402395027136; worker=5; libro=17; palabras=141645; inicio=2025-11-29 16:38:38.717; fin=2025-11-29 16:38:38.782
thread=127402512479936; worker=1; libro=18; palabras=145111; inicio=2025-11-29 16:38:38.717; fin=2025-11-29 16:38:38.788
thread=127402403419840; worker=4; libro=16; palabras=141049; inicio=2025-11-29 16:38:38.717; fin=2025-11-29 16:38:38.795
thread=127402420205248; worker=2; libro=14; palabras=166806; inicio=2025-11-29 16:38:38.717; fin=2025-11-29 16:38:38.801
thread=127402504087232; worker=0; libro=13; palabras=194382; inicio=2025-11-29 16:38:38.717; fin=2025-11-29 16:38:38.809
thread=127402403419840; worker=1; libro=19; palabras=30011; inicio=2025-11-29 16:38:38.810; fin=2025-11-29 16:38:38.825
thread=127402395027136; worker=0; libro=22; palabras=33889; inicio=2025-11-29 16:38:38.810; fin=2025-11-29 16:38:38.829
thread=127402420205248; worker=3; libro=21; palabras=60293; inicio=2025-11-29 16:38:38.810; fin=2025-11-29 16:38:38.843
thread=127402512479936; worker=4; libro=23; palabras=71710; inicio=2025-11-29 16:38:38.810; fin=2025-11-29 16:38:38.849
thread=127402411812544; worker=2; libro=20; palabras=185839; inicio=2025-11-29 16:38:38.810; fin=2025-11-29 16:38:38.901
thread=127402504087232; worker=5; libro=24; palabras=327002; inicio=2025-11-29 16:38:38.810; fin=2025-11-29 16:38:38.955
thread=127402504087232; worker=0; libro=25; palabras=71581; inicio=2025-11-29 16:38:38.956; fin=2025-11-29 16:38:38.995
thread=127402411812544; worker=3; libro=29; palabras=81316; inicio=2025-11-29 16:38:38.956; fin=2025-11-29 16:38:39.003
thread=127402512479936; worker=1; libro=27; palabras=117284; inicio=2025-11-29 16:38:38.956; fin=2025-11-29 16:38:39.013
thread=127402395027136; worker=5; libro=28; palabras=131867; inicio=2025-11-29 16:38:38.956; fin=2025-11-29 16:38:39.019
thread=127402420205248; worker=2; libro=26; palabras=185498; inicio=2025-11-29 16:38:38.956; fin=2025-11-29 16:38:39.041
thread=127402403419840; worker=4; libro=30; palabras=395203; inicio=2025-11-29 16:38:38.956; fin=2025-11-29 16:38:39.134
thread=127402512479936; worker=4; libro=32; palabras=80980; inicio=2025-11-29 16:38:39.135; fin=2025-11-29 16:38:39.176
thread=127402420205248; worker=3; libro=35; palabras=86640; inicio=2025-11-29 16:38:39.136; fin=2025-11-29 16:38:39.182
thread=127402411812544; worker=2; libro=34; palabras=80943; inicio=2025-11-29 16:38:39.135; fin=2025-11-29 16:38:39.191
thread=127402504087232; worker=5; libro=36; palabras=111843; inicio=2025-11-29 16:38:39.136; fin=2025-11-29 16:38:39.198
thread=127402403419840; worker=1; libro=33; palabras=115042; inicio=2025-11-29 16:38:39.135; fin=2025-11-29 16:38:39.204
thread=127402395027136; worker=0; libro=31; palabras=304376; inicio=2025-11-29 16:38:39.135; fin=2025-11-29 16:38:39.265
thread=127402504087232; worker=0; libro=37; palabras=25776; inicio=2025-11-29 16:38:39.267; fin=2025-11-29 16:38:39.284
thread=127402411812544; worker=3; libro=41; palabras=37765; inicio=2025-11-29 16:38:39.267; fin=2025-11-29 16:38:39.290
thread=127402420205248; worker=2; libro=39; palabras=49690; inicio=2025-11-29 16:38:39.267; fin=2025-11-29 16:38:39.296
thread=127402403419840; worker=4; libro=40; palabras=92854; inicio=2025-11-29 16:38:39.267; fin=2025-11-29 16:38:39.316
thread=127402395027136; worker=5; libro=42; palabras=212180; inicio=2025-11-29 16:38:39.267; fin=2025-11-29 16:38:39.363
thread=127402512479936; worker=1; libro=38; palabras=413440; inicio=2025-11-29 16:38:39.267; fin=2025-11-29 16:38:39.455
thread=127402504087232; worker=5; libro=48; palabras=78560; inicio=2025-11-29 16:38:39.461; fin=2025-11-29 16:38:39.502
