thread=140223581120192; worker=6; libro=7; palabras=31487; inicio=2025-10-29 14:26:53.684; fin=2025-10-29 14:26:54.238
thread=140223614691008; worker=1; libro=2; palabras=47314; inicio=2025-10-29 14:26:53.682; fin=2025-10-29 14:26:54.373
thread=140223606298304; worker=3; libro=4; palabras=71581; inicio=2025-10-29 14:26:53.683; fin=2025-10-29 14:26:54.459
thread=140223597905600; worker=4; libro=5; palabras=81316; inicio=2025-10-29 14:26:53.683; fin=2025-10-29 14:26:54.574
thread=140223623083712; worker=0; libro=1; palabras=71710; inicio=2025-10-29 14:26:53.681; fin=2025-10-29 14:26:54.708
thread=140223589512896; worker=5; libro=6; palabras=115042; inicio=2025-10-29 14:26:53.683; fin=2025-10-29 14:26:54.763
thread=140223501563584; worker=2; libro=3; palabras=141645; inicio=2025-10-29 14:26:53.682; fin=2025-10-29 14:26:54.911
thread=140223493170880; worker=7; libro=8; palabras=212180; inicio=2025-10-29 14:26:53.684; fin=2025-10-29 14:26:55.001
thread=140223493170880; worker=0; libro=9; palabras=33889; inicio=2025-10-29 14:26:55.001; fin=2025-10-29 14:26:55.681
thread=140223623083712; worker=4; libro=13; palabras=37765; inicio=2025-10-29 14:26:55.001; fin=2025-10-29 14:26:55.702
thread=140223501563584; worker=7; libro=16; palabras=49690; inicio=2025-10-29 14:26:55.002; fin=2025-10-29 14:26:55.744
thread=140223606298304; worker=6; libro=14; palabras=78560; inicio=2025-10-29 14:26:55.002; fin=2025-10-29 14:26:55.901
thread=140223614691008; worker=5; libro=15; palabras=99958; inicio=2025-10-29 14:26:55.002; fin=2025-10-29 14:26:56.006
thread=140223581120192; worker=1; libro=12; palabras=80943; inicio=2025-10-29 14:26:55.001; fin=2025-10-29 14:26:56.067
thread=140223597905600; worker=3; libro=11; palabras=166806; inicio=2025-10-29 14:26:55.001; fin=2025-10-29 14:27:03.607
thread=140223589512896; worker=2; libro=10; palabras=413440; inicio=2025-10-29 14:26:55.001; fin=2025-10-29 14:26:56.503
thread=140223581120192; worker=6; libro=23; palabras=25603; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:56.741
thread=140223606298304; worker=1; libro=18; palabras=144239; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:58.529
thread=140223623083712; worker=3; libro=20; palabras=185498; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:58.805
thread=140223597905600; worker=4; libro=21; palabras=194382; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:58.944
thread=140223614691008; worker=2; libro=19; palabras=211713; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:58.971
thread=140223589512896; worker=5; libro=22; palabras=201999; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:59.103
thread=140223501563584; worker=0; libro=17; palabras=126207; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:59.128
thread=140223493170880; worker=7; libro=24; palabras=327002; inicio=2025-10-29 14:26:56.504; fin=2025-10-29 14:26:59.209
thread=140223597905600; worker=3; libro=28; palabras=92854; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:00.447
thread=140223501563584; worker=7; libro=32; palabras=86640; inicio=2025-10-29 14:26:59.210; fin=2025-10-29 14:27:00.524
thread=140223614691008; worker=5; libro=30; palabras=30011; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:00.584
thread=140223606298304; worker=6; libro=31; palabras=134493; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:00.878
thread=140223589512896; worker=2; libro=27; palabras=131867; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:01.111
thread=140223493170880; worker=0; libro=25; palabras=222581; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:01.550
thread=140223581120192; worker=1; libro=26; palabras=185839; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:01.590
thread=140223623083712; worker=4; libro=29; palabras=304376; inicio=2025-10-29 14:26:59.209; fin=2025-10-29 14:27:01.613
thread=140223606298304; worker=1; libro=34; palabras=25776; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:02.075
thread=140223597905600; worker=4; libro=37; palabras=70204; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:02.580
thread=140223589512896; worker=5; libro=38; palabras=103490; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:02.959
thread=140223623083712; worker=3; libro=36; palabras=117350; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:02.961
thread=140223493170880; worker=7; libro=39; palabras=111843; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:03.229
thread=140223501563584; worker=0; libro=33; palabras=109138; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:03.243
thread=140223581120192; worker=6; libro=40; palabras=395203; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:03.972
thread=140223614691008; worker=2; libro=35; palabras=992331; inicio=2025-10-29 14:27:01.613; fin=2025-10-29 14:27:04.908
thread=140223623083712; worker=4; libro=45; palabras=141049; inicio=2025-10-29 14:27:04.909; fin=2025-10-29 14:27:06.501
thread=140223606298304; worker=6; libro=47; palabras=92187; inicio=2025-10-29 14:27:04.909; fin=2025-10-29 14:27:06.502
thread=140223581120192; worker=1; libro=42; palabras=80980; inicio=2025-10-29 14:27:04.908; fin=2025-10-29 14:27:06.886
thread=140223493170880; worker=0; libro=41; palabras=173576; inicio=2025-10-29 14:27:04.908; fin=2025-10-29 14:27:07.057
thread=140223597905600; worker=3; libro=44; palabras=117284; inicio=2025-10-29 14:27:04.908; fin=2025-10-29 14:27:07.085
thread=140223501563584; worker=7; libro=48; palabras=145111; inicio=2025-10-29 14:27:04.909; fin=2025-10-29 14:27:07.410
thread=140223589512896; worker=2; libro=43; palabras=203029; inicio=2025-10-29 14:27:04.908; fin=2025-10-29 14:27:07.445
thread=140223614691008; worker=5; libro=46; palabras=286240; inicio=2025-10-29 14:27:04.909; fin=2025-10-29 14:27:07.526
thread=140223501563584; worker=0; libro=49; palabras=60293; inicio=2025-10-29 14:27:07.526; fin=2025-10-29 14:27:07.604
