thread=137305473939136; worker=3; libro=5; palabras=25603; inicio=2025-11-29 16:38:05.095; fin=2025-11-29 16:38:05.109
thread=137305568306880; worker=1; libro=1; palabras=99958; inicio=2025-11-29 16:38:05.094; fin=2025-11-29 16:38:05.149
thread=137305576699584; worker=0; libro=2; palabras=103490; inicio=2025-11-29 16:38:05.094; fin=2025-11-29 16:38:05.156
thread=137305559914176; worker=2; libro=3; palabras=203029; inicio=2025-11-29 16:38:05.095; fin=2025-11-29 16:38:05.185
thread=137305551521472; worker=4; libro=4; palabras=992331; inicio=2025-11-29 16:38:05.095; fin=2025-11-29 16:38:05.520
thread=137305559914176; worker=2; libro=7; palabras=47314; inicio=2025-11-29 16:38:05.522; fin=2025-11-29 16:38:05.545
thread=137305576699584; worker=4; libro=9; palabras=70204; inicio=2025-11-29 16:38:05.522; fin=2025-11-29 16:38:05.558
thread=137305551521472; worker=0; libro=6; palabras=92187; inicio=2025-11-29 16:38:05.522; fin=2025-11-29 16:38:05.569
thread=137305473939136; worker=1; libro=8; palabras=211713; inicio=2025-11-29 16:38:05.522; fin=2025-11-29 16:38:05.614
thread=137305568306880; worker=3; libro=10; palabras=286240; inicio=2025-11-29 16:38:05.523; fin=2025-11-29 16:38:05.664
thread=137305559914176; worker=2; libro=15; palabras=31487; inicio=2025-11-29 16:38:05.666; fin=2025-11-29 16:38:05.681
thread=137305568306880; worker=1; libro=12; palabras=117350; inicio=2025-11-29 16:38:05.665; fin=2025-11-29 16:38:05.721
thread=137305576699584; worker=0; libro=11; palabras=134493; inicio=2025-11-29 16:38:05.665; fin=2025-11-29 16:38:05.727
thread=137305551521472; worker=4; libro=14; palabras=166806; inicio=2025-11-29 16:38:05.665; fin=2025-11-29 16:38:05.738
thread=137305473939136; worker=3; libro=13; palabras=194382; inicio=2025-11-29 16:38:05.665; fin=2025-11-29 16:38:05.747
thread=137305568306880; worker=3; libro=19; palabras=30011; inicio=2025-11-29 16:38:05.748; fin=2025-11-29 16:38:05.765
thread=137305551521472; worker=0; libro=16; palabras=141049; inicio=2025-11-29 16:38:05.748; fin=2025-11-29 16:38:05.811
thread=137305559914176; worker=2; libro=18; palabras=145111; inicio=2025-11-29 16:38:05.748; fin=2025-11-29 16:38:05.818
