thread=140488801961664; worker=1; libro=2; palabras=47314; inicio=2025-11-30 15:52:18.896; fin=2025-11-30 15:52:18.945
thread=140488810354368; worker=0; libro=1; palabras=71710; inicio=2025-11-30 15:52:18.896; fin=2025-11-30 15:52:18.964
thread=140488715794112; worker=3; libro=4; palabras=71581; inicio=2025-11-30 15:52:18.897; fin=2025-11-30 15:52:18.971
thread=140488801961664; worker=1; libro=7; palabras=31487; inicio=2025-11-30 15:52:18.946; fin=2025-11-30 15:52:18.975
thread=140488707401408; worker=4; libro=5; palabras=81316; inicio=2025-11-30 15:52:18.897; fin=2025-11-30 15:52:18.984
thread=140488699008704; worker=5; libro=6; palabras=115042; inicio=2025-11-30 15:52:18.897; fin=2025-11-30 15:52:18.998
thread=140488715794112; worker=3; libro=9; palabras=33889; inicio=2025-11-30 15:52:18.972; fin=2025-11-30 15:52:19.002
thread=140488793568960; worker=2; libro=3; palabras=141645; inicio=2025-11-30 15:52:18.897; fin=2025-11-30 15:52:19.021
thread=140488810354368; worker=0; libro=8; palabras=212180; inicio=2025-11-30 15:52:18.965; fin=2025-11-30 15:52:19.127
thread=140488801961664; worker=5; libro=13; palabras=37765; inicio=2025-11-30 15:52:19.129; fin=2025-11-30 15:52:19.166
thread=140488793568960; worker=3; libro=14; palabras=78560; inicio=2025-11-30 15:52:19.129; fin=2025-11-30 15:52:16.685
thread=140488707401408; worker=1; libro=12; palabras=80943; inicio=2025-11-30 15:52:19.129; fin=2025-11-30 15:52:16.695
thread=140488801961664; worker=5; libro=16; palabras=49690; inicio=2025-11-30 15:52:19.167; fin=2025-11-30 15:52:16.702
thread=140488715794112; worker=2; libro=15; palabras=99958; inicio=2025-11-30 15:52:19.129; fin=2025-11-30 15:52:16.713
thread=140488810354368; worker=4; libro=11; palabras=166806; inicio=2025-11-30 15:52:19.129; fin=2025-11-30 15:52:16.748
thread=140488793568960; worker=3; libro=17; palabras=126207; inicio=2025-11-30 15:52:16.687; fin=2025-11-30 15:52:16.817
thread=140488707401408; worker=1; libro=18; palabras=144239; inicio=2025-11-30 15:52:16.698; fin=2025-11-30 15:52:16.829
thread=140488699008704; worker=0; libro=10; palabras=413440; inicio=2025-11-30 15:52:19.129; fin=2025-11-30 15:52:16.929
thread=140488699008704; worker=5; libro=23; palabras=25603; inicio=2025-11-30 15:52:16.933; fin=2025-11-30 15:52:16.966
thread=140488793568960; worker=2; libro=20; palabras=185498; inicio=2025-11-30 15:52:16.933; fin=2025-11-30 15:52:17.105
thread=140488715794112; worker=3; libro=21; palabras=194382; inicio=2025-11-30 15:52:16.933; fin=2025-11-30 15:52:17.116
thread=140488707401408; worker=4; libro=22; palabras=201999; inicio=2025-11-30 15:52:16.933; fin=2025-11-30 15:52:17.127
thread=140488801961664; worker=0; libro=19; palabras=211713; inicio=2025-11-30 15:52:16.933; fin=2025-11-30 15:52:17.139
thread=140488699008704; worker=5; libro=25; palabras=222581; inicio=2025-11-30 15:52:16.966; fin=2025-11-30 15:52:17.167
thread=140488810354368; worker=1; libro=24; palabras=327002; inicio=2025-11-30 15:52:16.933; fin=2025-11-30 15:52:17.217
thread=140488715794112; worker=3; libro=27; palabras=131867; inicio=2025-11-30 15:52:17.117; fin=2025-11-30 15:52:17.224
thread=140488793568960; worker=2; libro=26; palabras=185839; inicio=2025-11-30 15:52:17.106; fin=2025-11-30 15:52:17.259
thread=140488793568960; worker=3; libro=30; palabras=30011; inicio=2025-11-30 15:52:17.261; fin=2025-11-30 15:52:17.298
