thread=140217503696576; worker=6; libro=7; palabras=31487; inicio=2025-11-06 10:05:09.545; fin=2025-11-06 10:05:10.052
thread=140217620285120; worker=1; libro=2; palabras=47314; inicio=2025-11-06 10:05:09.544; fin=2025-11-06 10:05:10.159
thread=140217528874688; worker=3; libro=4; palabras=71581; inicio=2025-11-06 10:05:09.545; fin=2025-11-06 10:05:10.397
thread=140217503696576; worker=6; libro=9; palabras=33889; inicio=2025-11-06 10:05:10.052; fin=2025-11-06 10:05:10.557
thread=140217520481984; worker=4; libro=5; palabras=81316; inicio=2025-11-06 10:05:09.545; fin=2025-11-06 10:05:10.684
thread=140217628677824; worker=0; libro=1; palabras=71710; inicio=2025-11-06 10:05:09.544; fin=2025-11-06 10:05:10.741
thread=140217512089280; worker=5; libro=6; palabras=115042; inicio=2025-11-06 10:05:09.545; fin=2025-11-06 10:05:10.958
thread=140217611892416; worker=2; libro=3; palabras=141645; inicio=2025-11-06 10:05:09.545; fin=2025-11-06 10:05:11.191
thread=140217495303872; worker=7; libro=8; palabras=212180; inicio=2025-11-06 10:05:09.545; fin=2025-11-06 10:05:11.304
thread=140217620285120; worker=1; libro=10; palabras=413440; inicio=2025-11-06 10:05:10.160; fin=2025-11-06 10:05:11.443
thread=140217611892416; worker=6; libro=16; palabras=49690; inicio=2025-11-06 10:05:11.443; fin=2025-11-06 10:05:12.163
thread=140217512089280; worker=2; libro=13; palabras=37765; inicio=2025-11-06 10:05:11.443; fin=2025-11-06 10:05:12.205
thread=140217628677824; worker=4; libro=14; palabras=78560; inicio=2025-11-06 10:05:11.443; fin=2025-11-06 10:05:12.524
thread=140217620285120; worker=5; libro=15; palabras=99958; inicio=2025-11-06 10:05:11.443; fin=2025-11-06 10:05:12.698
thread=140217503696576; worker=1; libro=12; palabras=80943; inicio=2025-11-06 10:05:11.443; fin=2025-11-06 10:05:12.941
thread=140217495303872; worker=0; libro=11; palabras=166806; inicio=2025-11-06 10:05:11.443; fin=2025-11-06 10:05:13.214
thread=140217528874688; worker=7; libro=18; palabras=144239; inicio=2025-11-06 10:05:11.444; fin=2025-11-06 10:05:13.391
thread=140217611892416; worker=6; libro=19; palabras=211713; inicio=2025-11-06 10:05:12.163; fin=2025-11-06 10:05:13.719
thread=140217512089280; worker=2; libro=20; palabras=185498; inicio=2025-11-06 10:05:12.205; fin=2025-11-06 10:05:13.722
thread=140217520481984; worker=3; libro=17; palabras=126207; inicio=2025-11-06 10:05:11.444; fin=2025-11-06 10:05:13.729
thread=140217620285120; worker=2; libro=23; palabras=25603; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:13.961
thread=140217495303872; worker=7; libro=28; palabras=92854; inicio=2025-11-06 10:05:13.730; fin=2025-11-06 10:05:14.808
thread=140217495303872; worker=7; libro=30; palabras=30011; inicio=2025-11-06 10:05:14.808; fin=2025-11-06 10:05:16.018
thread=140217503696576; worker=6; libro=27; palabras=131867; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:16.185
thread=140217520481984; worker=4; libro=25; palabras=222581; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:16.475
thread=140217528874688; worker=0; libro=21; palabras=194382; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:16.846
thread=140217620285120; worker=2; libro=29; palabras=304376; inicio=2025-11-06 10:05:13.961; fin=2025-11-06 10:05:16.899
thread=140217611892416; worker=1; libro=22; palabras=201999; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:16.961
thread=140217512089280; worker=5; libro=26; palabras=185839; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:16.989
thread=140217628677824; worker=3; libro=24; palabras=327002; inicio=2025-11-06 10:05:13.729; fin=2025-11-06 10:05:17.044
thread=140217520481984; worker=3; libro=34; palabras=25776; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:15.701
thread=140217611892416; worker=6; libro=37; palabras=70204; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:16.320
thread=140217620285120; worker=5; libro=36; palabras=117350; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:16.548
thread=140217495303872; worker=0; libro=32; palabras=86640; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:16.682
thread=140217528874688; worker=7; libro=38; palabras=103490; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:16.742
thread=140217503696576; worker=1; libro=31; palabras=134493; inicio=2025-11-06 10:05:17.044; fin=2025-11-06 10:05:16.951
thread=140217512089280; worker=2; libro=33; palabras=109138; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:17.165
thread=140217520481984; worker=3; libro=39; palabras=111843; inicio=2025-11-06 10:05:15.702; fin=2025-11-06 10:05:17.269
thread=140217611892416; worker=6; libro=40; palabras=395203; inicio=2025-11-06 10:05:16.321; fin=2025-11-06 10:05:17.964
thread=140217628677824; worker=4; libro=35; palabras=992331; inicio=2025-11-06 10:05:17.045; fin=2025-11-06 10:05:18.703
thread=140217520481984; worker=4; libro=45; palabras=141049; inicio=2025-11-06 10:05:18.704; fin=2025-11-06 10:05:20.163
thread=140217503696576; worker=6; libro=47; palabras=92187; inicio=2025-11-06 10:05:18.705; fin=2025-11-06 10:05:20.439
thread=140217528874688; worker=0; libro=41; palabras=173576; inicio=2025-11-06 10:05:18.704; fin=2025-11-06 10:05:20.860
thread=140217620285120; worker=2; libro=42; palabras=80980; inicio=2025-11-06 10:05:18.704; fin=2025-11-06 10:05:20.920
thread=140217520481984; worker=4; libro=49; palabras=60293; inicio=2025-11-06 10:05:20.163; fin=2025-11-06 10:05:20.934
thread=140217611892416; worker=1; libro=44; palabras=117284; inicio=2025-11-06 10:05:18.704; fin=2025-11-06 10:05:20.951
thread=140217628677824; worker=3; libro=43; palabras=203029; inicio=2025-11-06 10:05:18.704; fin=2025-11-06 10:05:21.289
thread=140217512089280; worker=5; libro=48; palabras=145111; inicio=2025-11-06 10:05:18.705; fin=2025-11-06 10:05:21.331
thread=140217495303872; worker=7; libro=46; palabras=286240; inicio=2025-11-06 10:05:18.705; fin=2025-11-06 10:05:21.393
