thread=140432201737920; worker=6; libro=7; palabras=31487; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.006
thread=140432184952512; worker=8; libro=9; palabras=33889; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.017
thread=140432452536000; worker=1; libro=2; palabras=47314; inicio=2025-11-30 16:09:43.935; fin=2025-11-30 16:09:44.025
thread=140432460928704; worker=0; libro=1; palabras=71710; inicio=2025-11-30 16:09:43.935; fin=2025-11-30 16:09:44.060
thread=140432435750592; worker=3; libro=4; palabras=71581; inicio=2025-11-30 16:09:43.935; fin=2025-11-30 16:09:44.075
thread=140432427357888; worker=4; libro=5; palabras=81316; inicio=2025-11-30 16:09:43.935; fin=2025-11-30 16:09:44.086
thread=140432159774400; worker=11; libro=12; palabras=80943; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.098
thread=140432210130624; worker=5; libro=6; palabras=115042; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.105
thread=140432444143296; worker=2; libro=3; palabras=141645; inicio=2025-11-30 16:09:43.935; fin=2025-11-30 16:09:44.125
thread=140432168167104; worker=10; libro=11; palabras=166806; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.140
thread=140432193345216; worker=7; libro=8; palabras=212180; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.171
thread=140432176559808; worker=9; libro=10; palabras=413440; inicio=2025-11-30 16:09:43.936; fin=2025-11-30 16:09:44.343
thread=140432201737920; worker=10; libro=23; palabras=25603; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.389
thread=140432159774400; worker=0; libro=13; palabras=37765; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.407
thread=140432460928704; worker=4; libro=16; palabras=49690; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.420
thread=140432176559808; worker=2; libro=14; palabras=78560; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.457
thread=140432184952512; worker=3; libro=15; palabras=99958; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.495
thread=140432452536000; worker=5; libro=17; palabras=126207; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.549
thread=140432444143296; worker=6; libro=18; palabras=144239; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.565
thread=140432435750592; worker=7; libro=20; palabras=185498; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.576
thread=140432427357888; worker=8; libro=21; palabras=194382; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.589
thread=140432210130624; worker=9; libro=22; palabras=201999; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.602
thread=140432168167104; worker=1; libro=19; palabras=211713; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.618
thread=140432193345216; worker=11; libro=24; palabras=327002; inicio=2025-11-30 16:09:44.347; fin=2025-11-30 16:09:44.693
thread=140432176559808; worker=9; libro=34; palabras=25776; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.746
thread=140432452536000; worker=5; libro=30; palabras=30011; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.752
thread=140432444143296; worker=6; libro=32; palabras=86640; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.813
thread=140432427357888; worker=3; libro=28; palabras=92854; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.831
thread=140432184952512; worker=8; libro=33; palabras=109138; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.844
thread=140432210130624; worker=2; libro=27; palabras=131867; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.861
thread=140432159774400; worker=11; libro=36; palabras=117350; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.876
thread=140432435750592; worker=7; libro=31; palabras=134493; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.889
thread=140432201737920; worker=1; libro=26; palabras=185839; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.919
thread=140432193345216; worker=0; libro=25; palabras=222581; inicio=2025-11-30 16:09:44.698; fin=2025-11-30 16:09:44.952
