thread=140196947490496; worker=1; libro=2; palabras=47314; inicio=2025-10-30 10:33:52.785; fin=2025-10-30 10:33:53.325
thread=140196834166464; worker=6; libro=7; palabras=31487; inicio=2025-10-30 10:33:52.786; fin=2025-10-30 10:33:53.335
thread=140196859344576; worker=3; libro=4; palabras=71581; inicio=2025-10-30 10:33:52.786; fin=2025-10-30 10:33:53.516
thread=140196947490496; worker=1; libro=9; palabras=33889; inicio=2025-10-30 10:33:53.325; fin=2025-10-30 10:33:53.746
thread=140196850951872; worker=4; libro=5; palabras=81316; inicio=2025-10-30 10:33:52.786; fin=2025-10-30 10:33:53.747
thread=140196955883200; worker=0; libro=1; palabras=71710; inicio=2025-10-30 10:33:52.785; fin=2025-10-30 10:33:53.954
thread=140196842559168; worker=5; libro=6; palabras=115042; inicio=2025-10-30 10:33:52.786; fin=2025-10-30 10:33:54.083
thread=140196939097792; worker=2; libro=3; palabras=141645; inicio=2025-10-30 10:33:52.786; fin=2025-10-30 10:33:54.316
thread=140196825773760; worker=7; libro=8; palabras=212180; inicio=2025-10-30 10:33:52.786; fin=2025-10-30 10:33:54.431
thread=140196834166464; worker=6; libro=10; palabras=413440; inicio=2025-10-30 10:33:53.336; fin=2025-10-30 10:33:54.604
thread=140196842559168; worker=2; libro=13; palabras=37765; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:55.182
thread=140196947490496; worker=5; libro=16; palabras=49690; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:55.331
thread=140196850951872; worker=3; libro=14; palabras=78560; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:55.702
thread=140196955883200; worker=4; libro=15; palabras=99958; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:55.776
thread=140196834166464; worker=1; libro=12; palabras=80943; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:55.925
thread=140196859344576; worker=7; libro=18; palabras=144239; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:56.417
thread=140196825773760; worker=0; libro=11; palabras=166806; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:56.537
thread=140196842559168; worker=2; libro=19; palabras=211713; inicio=2025-10-30 10:33:55.182; fin=2025-10-30 10:33:56.831
thread=140196939097792; worker=6; libro=17; palabras=126207; inicio=2025-10-30 10:33:54.605; fin=2025-10-30 10:33:56.839
thread=140196947490496; worker=5; libro=20; palabras=185498; inicio=2025-10-30 10:33:55.331; fin=2025-10-30 10:33:56.839
thread=140196947490496; worker=2; libro=23; palabras=25603; inicio=2025-10-30 10:33:56.840; fin=2025-10-30 10:33:57.142
thread=140196834166464; worker=6; libro=28; palabras=92854; inicio=2025-10-30 10:33:56.840; fin=2025-10-30 10:33:57.768
thread=140196834166464; worker=6; libro=30; palabras=30011; inicio=2025-10-30 10:33:57.768; fin=2025-10-30 10:33:58.746
thread=140196825773760; worker=7; libro=27; palabras=131867; inicio=2025-10-30 10:33:56.840; fin=2025-10-30 10:33:59.083
thread=140196850951872; worker=4; libro=25; palabras=222581; inicio=2025-10-30 10:33:56.840; fin=2025-10-30 10:33:59.302
thread=140196859344576; worker=0; libro=21; palabras=194382; inicio=2025-10-30 10:33:56.839; fin=2025-10-30 10:33:59.714
thread=140196947490496; worker=2; libro=29; palabras=304376; inicio=2025-10-30 10:33:57.142; fin=2025-10-30 10:33:59.821
thread=140196939097792; worker=1; libro=22; palabras=201999; inicio=2025-10-30 10:33:56.839; fin=2025-10-30 10:33:59.834
thread=140196842559168; worker=5; libro=26; palabras=185839; inicio=2025-10-30 10:33:56.840; fin=2025-10-30 10:33:59.858
thread=140196955883200; worker=3; libro=24; palabras=327002; inicio=2025-10-30 10:33:56.840; fin=2025-10-30 10:33:59.915
thread=140196850951872; worker=3; libro=34; palabras=25776; inicio=2025-10-30 10:33:59.915; fin=2025-10-30 10:34:00.405
thread=140196939097792; worker=6; libro=37; palabras=70204; inicio=2025-10-30 10:33:59.916; fin=2025-10-30 10:34:00.881
thread=140196955883200; worker=4; libro=36; palabras=117350; inicio=2025-10-30 10:33:59.916; fin=2025-10-30 10:34:08.614
thread=140196834166464; worker=1; libro=32; palabras=86640; inicio=2025-10-30 10:33:59.915; fin=2025-10-30 10:34:08.776
thread=140196859344576; worker=7; libro=38; palabras=103490; inicio=2025-10-30 10:33:59.916; fin=2025-10-30 10:34:08.830
thread=140196825773760; worker=0; libro=31; palabras=134493; inicio=2025-10-30 10:33:59.915; fin=2025-10-30 10:34:01.442
thread=140196842559168; worker=2; libro=33; palabras=109138; inicio=2025-10-30 10:33:59.915; fin=2025-10-30 10:34:01.636
thread=140196850951872; worker=3; libro=39; palabras=111843; inicio=2025-10-30 10:34:00.405; fin=2025-10-30 10:34:01.781
thread=140196939097792; worker=6; libro=40; palabras=395203; inicio=2025-10-30 10:34:00.881; fin=2025-10-30 10:34:02.405
thread=140196947490496; worker=5; libro=35; palabras=992331; inicio=2025-10-30 10:33:59.915; fin=2025-10-30 10:34:03.108
thread=140196834166464; worker=6; libro=47; palabras=92187; inicio=2025-10-30 10:34:03.109; fin=2025-10-30 10:34:04.505
thread=140196850951872; worker=4; libro=45; palabras=141049; inicio=2025-10-30 10:34:03.109; fin=2025-10-30 10:34:04.551
thread=140196939097792; worker=1; libro=42; palabras=80980; inicio=2025-10-30 10:34:03.109; fin=2025-10-30 10:34:04.998
thread=140196859344576; worker=0; libro=41; palabras=173576; inicio=2025-10-30 10:34:03.109; fin=2025-10-30 10:34:05.108
thread=140196955883200; worker=3; libro=44; palabras=117284; inicio=2025-10-30 10:34:03.109; fin=2025-10-30 10:34:05.161
