event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 17:23:50.853,1764447830,1,332.77,-300.00,-144.00,,,
GOAL,2025-11-29 17:23:52.068,1764447832,1,1,Blue,1,1.22,1.22,
SPEED,2025-11-29 17:23:52.857,1764447832,1,342.75,309.00,-148.32,,,
GOAL,2025-11-29 17:23:53.365,1764447833,1,0,Red,1,1.30,2.51,
GOAL,2025-11-29 17:23:54.627,1764447834,1,1,Blue,2,1.26,3.77,
SPEED,2025-11-29 17:23:54.872,1764447834,1,363.63,327.82,157.35,,,
GOAL,2025-11-29 17:23:55.858,1764447835,1,0,Red,2,1.23,5.01,
SPEED,2025-11-29 17:23:59.340,1764447839,1,374.54,-337.65,-162.07,,,
GOAL,2025-11-29 17:23:59.520,1764447839,1,1,Blue,3,1.20,6.20,
SPEED,2025-11-29 17:24:01.342,1764447841,1,373.54,-365.17,-78.60,,,
GOAL,2025-11-29 17:24:02.477,1764447842,1,1,Blue,4,2.96,9.16,
SPEED,2025-11-29 17:24:03.347,1764447843,1,397.34,358.22,-171.94,,,
GOAL,2025-11-29 17:24:03.594,1764447843,1,0,Red,3,1.12,10.28,
GOAL,2025-11-29 17:24:04.691,1764447844,1,1,Blue,5,1.10,11.37,
SPEED,2025-11-29 17:24:05.348,1764447845,1,421.54,380.03,182.41,,,
GOAL,2025-11-29 17:24:05.758,1764447845,1,0,Red,4,1.07,12.44,
GOAL,2025-11-29 17:24:06.792,1764447846,1,1,Blue,6,1.03,13.47,
SPEED,2025-11-29 17:24:07.349,1764447847,1,447.22,403.17,193.52,,,
GOAL,2025-11-29 17:24:07.791,1764447847,1,0,Red,5,1.00,14.47,
GOAL,2025-11-29 17:24:08.759,1764447848,1,1,Blue,7,0.97,15.44,
SPEED,2025-11-29 17:24:09.365,1764447849,1,474.45,427.73,205.31,,,
SPEED,2025-11-29 17:24:11.370,1764447851,1,502.12,471.57,-172.46,,,
SPEED,2025-11-29 17:24:13.370,1764447853,1,564.56,-495.15,271.21,,,
GOAL,2025-11-29 17:24:13.930,1764447853,1,1,Blue,8,5.17,20.61,
GOAL,2025-11-29 17:24:14.851,1764447854,1,0,Red,6,0.92,21.53,
SPEED,2025-11-29 17:24:15.376,1764447855,1,503.34,-453.78,-217.81,,,
GOAL,2025-11-29 17:24:15.737,1764447855,1,1,Blue,9,0.89,22.42,
GOAL,2025-11-29 17:24:16.606,1764447856,1,0,Red,7,0.87,23.29,
SPEED,2025-11-29 17:24:17.376,1764447857,1,534.00,-481.41,-231.08,,,
GOAL,2025-11-29 17:24:17.442,1764447857,1,1,Blue,10,0.84,24.12,
MATCH,2025-11-29 17:24:17.442,1764447857,1,1,Blue,24.12,7,10,
COLLISION,2025-11-29 17:24:17.442,1764447857,1,0,Red,1,1,,
COLLISION,2025-11-29 17:24:17.442,1764447857,1,1,Blue,1,3,,
