event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 17:18:54.240,1764447534,1,332.77,-300.00,144.00,,,
GOAL,2025-11-29 17:18:55.439,1764447535,1,1,Blue,1,1.20,1.20,
SPEED,2025-11-29 17:18:56.245,1764447536,1,342.75,309.00,-148.32,,,
SPEED,2025-11-29 17:18:58.247,1764447538,1,328.89,-324.45,-53.88,,,
GOAL,2025-11-29 17:18:58.772,1764447538,1,1,Blue,2,3.33,4.53,
GOAL,2025-11-29 17:19:00.037,1764447540,1,0,Red,1,1.26,5.80,
SPEED,2025-11-29 17:19:00.251,1764447540,1,363.63,-327.82,-157.35,,,
GOAL,2025-11-29 17:19:01.270,1764447541,1,1,Blue,3,1.23,7.03,
SPEED,2025-11-29 17:19:02.253,1764447542,1,394.43,-354.54,-172.86,,,
SPEED,2025-11-29 17:19:04.254,1764447544,1,394.43,-354.54,172.86,,,
GOAL,2025-11-29 17:19:04.320,1764447544,1,1,Blue,4,3.05,10.08,
SPEED,2025-11-29 17:19:06.261,1764447546,1,373.19,-365.17,76.97,,,
GOAL,2025-11-29 17:19:07.282,1764447547,1,1,Blue,5,2.96,13.04,
SPEED,2025-11-29 17:19:08.266,1764447548,1,393.86,-376.13,116.86,,,
GOAL,2025-11-29 17:19:10.173,1764447550,1,1,Blue,6,2.89,15.93,
SPEED,2025-11-29 17:19:10.272,1764447550,1,409.27,368.96,177.10,,,
SPEED,2025-11-29 17:19:12.284,1764447552,1,420.63,-387.41,-163.84,,,
GOAL,2025-11-29 17:19:12.976,1764447552,1,1,Blue,7,2.80,18.74,
SPEED,2025-11-29 17:19:14.292,1764447554,1,432.39,-399.03,166.53,,,
GOAL,2025-11-29 17:19:15.690,1764447555,1,1,Blue,8,2.71,21.45,
SPEED,2025-11-29 17:19:16.298,1764447556,1,434.19,391.43,-187.89,,,
GOAL,2025-11-29 17:19:16.727,1764447556,1,0,Red,2,1.04,22.49,
GOAL,2025-11-29 17:19:17.731,1764447557,1,1,Blue,9,1.00,23.49,
SPEED,2025-11-29 17:19:20.365,1764447560,1,460.63,415.27,199.33,,,
SPEED,2025-11-29 17:19:22.376,1764447562,1,497.89,457.84,-195.66,,,
SPEED,2025-11-29 17:19:24.379,1764447564,1,551.63,-480.73,270.56,,,
GOAL,2025-11-29 17:19:25.138,1764447565,1,1,Blue,10,5.35,28.84,
MATCH,2025-11-29 17:19:25.138,1764447565,1,1,Blue,28.84,2,10,
COLLISION,2025-11-29 17:19:25.138,1764447565,1,0,Red,0,1,,
COLLISION,2025-11-29 17:19:25.138,1764447565,1,1,Blue,0,8,,
