event_type,timestamp,epoch_sec,match_id,data1,data2,data3,data4,data5,data6
SPEED,2025-11-29 17:19:32.838,1764447572,2,332.77,300.00,144.00,,,
GOAL,2025-11-29 17:19:32.838,1764447572,2,0,Red,1,0.00,0.00,
GOAL,2025-11-29 17:19:34.134,1764447574,2,1,Blue,1,1.30,1.30,
SPEED,2025-11-29 17:19:34.840,1764447574,2,353.04,318.27,152.77,,,
GOAL,2025-11-29 17:19:35.399,1764447575,2,0,Red,2,1.27,2.57,
GOAL,2025-11-29 17:19:36.631,1764447576,2,1,Blue,2,1.23,3.80,
SPEED,2025-11-29 17:19:36.845,1764447576,2,374.54,337.65,162.07,,,
GOAL,2025-11-29 17:19:37.829,1764447577,2,0,Red,3,1.20,5.00,
SPEED,2025-11-29 17:19:38.860,1764447578,2,385.77,-347.78,-166.94,,,
GOAL,2025-11-29 17:19:38.992,1764447578,2,1,Blue,3,1.16,6.16,
